City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
101,Upernavik,GL,72.7868,-56.1549,31.53,75,100,16.91,overcast clouds
102,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,0,9.22,clear sky
103,Port Hedland,AU,-20.3167,118.5667,93.25,40,0,10.36,clear sky
104,Bengkulu,ID,-3.8004,102.2655,76.21,86,100,2.44,overcast clouds
105,Mitsamiouli,KM,-11.3847,43.2844,79.41,79,4,5.48,clear sky
106,Lielvarde,LV,56.7207,24.8074,29.41,98,100,4.52,snow
107,Lompoc,US,34.6391,-120.4579,55.02,82,0,8.05,clear sky
108,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,87,59,2.44,broken clouds
109,Namibe,AO,-15.1961,12.1522,69.28,73,78,4.63,broken clouds
110,Mar Del Plata,AR,-38.0023,-57.5575,69.94,62,0,7.0,clear sky
111,Tiksi,RU,71.6872,128.8694,-14.46,100,100,5.5,overcast clouds
112,Pacific Grove,US,36.6177,-121.9166,54.66,80,100,13.0,overcast clouds
113,Shar,KZ,49.5886,81.0453,8.31,85,100,11.01,overcast clouds
114,Jhajjar,IN,28.6063,76.6565,53.71,35,0,2.68,clear sky
115,Cabedelo,BR,-6.9811,-34.8339,79.47,81,15,10.33,few clouds
116,Isangel,VU,-19.55,169.2667,87.91,70,75,4.61,broken clouds
117,Mehamn,NO,71.0357,27.8492,31.91,80,100,26.46,light snow
118,Merauke,ID,-8.4667,140.3333,84.22,72,100,2.98,overcast clouds
119,Bosconia,CO,9.9689,-73.8836,73.76,80,12,3.65,few clouds
120,Fairbanks,US,64.8378,-147.7164,17.56,88,100,6.91,light snow
121,Nadapuram,IN,11.7,75.6667,74.12,53,100,3.71,overcast clouds
122,North Bend,US,43.4065,-124.2243,42.08,99,100,7.78,overcast clouds
123,Coquimbo,CL,-29.9533,-71.3436,62.33,94,75,8.05,broken clouds
124,Airai,TL,-8.9266,125.4092,73.81,49,100,2.55,overcast clouds
125,Havelock,US,34.8791,-76.9013,57.15,82,100,3.0,overcast clouds
126,Ojinaga,MX,29.5667,-104.4167,73.58,56,0,3.44,clear sky
127,Peruibe,BR,-24.32,-46.9983,69.8,86,4,5.01,clear sky
128,Banda Aceh,ID,5.5577,95.3222,75.81,88,100,11.59,overcast clouds
129,Salacgriva,LV,57.7536,24.3581,30.36,96,100,10.71,snow
130,Itarema,BR,-2.9248,-39.9167,79.2,78,100,14.9,overcast clouds
131,Bredasdorp,ZA,-34.5322,20.0403,66.2,95,99,3.4,overcast clouds
132,Dongkan,CN,33.9997,119.8308,46.67,95,100,6.49,overcast clouds
133,Torbay,CA,47.6666,-52.7314,39.76,97,100,11.5,light intensity drizzle
134,Margate,GB,51.3813,1.3862,34.7,86,7,3.0,clear sky
135,Khatanga,RU,71.9667,102.5,-10.98,98,100,2.95,overcast clouds
136,Ancud,CL,-41.8697,-73.8203,56.12,93,93,11.21,light rain
137,Yendi,GH,9.4427,-0.0099,77.99,27,0,3.69,clear sky
138,Baragua,CU,21.6967,-78.6328,69.66,79,1,8.5,clear sky
139,Pouebo,NC,-20.4,164.5667,83.52,68,52,3.53,broken clouds
140,Trelew,AR,-43.249,-65.3051,76.1,24,33,21.83,scattered clouds
141,Adrar,MR,20.5022,-10.0711,74.98,18,9,8.21,clear sky
142,George Town,MY,5.4112,100.3354,78.73,93,40,8.05,moderate rain
143,Divnomorskoye,RU,44.5011,38.1353,48.7,78,82,6.67,broken clouds
144,Lata,PT,40.1629,-8.3327,54.07,97,100,5.03,light rain
145,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,91,0,3.44,clear sky
146,Barao De Melgaco,BR,-16.1944,-55.9675,81.55,55,100,5.53,overcast clouds
147,Embu,BR,-23.6489,-46.8522,75.24,65,7,1.36,clear sky
148,Shiraz,IR,29.6036,52.5388,42.24,93,75,0.0,mist
149,Mount Gambier,AU,-37.8333,140.7667,60.53,46,100,6.51,overcast clouds
150,Sibolga,ID,1.7427,98.7792,76.1,89,100,3.85,overcast clouds
151,China,MX,25.7,-99.2333,77.09,57,0,16.33,clear sky
152,Boguchany,RU,58.3814,97.4531,7.45,86,100,12.28,overcast clouds
153,Asyut,EG,27.181,31.1837,57.38,47,0,3.2,clear sky
154,Luderitz,NA,-26.6481,15.1594,60.71,90,0,8.46,clear sky
155,Meulaboh,ID,4.1363,96.1285,75.9,85,100,6.55,overcast clouds
156,Mattru,SL,7.6244,-11.8332,74.89,93,11,1.25,few clouds
157,Kruisfontein,ZA,-34.0033,24.7314,70.88,95,32,6.49,scattered clouds
158,Shenjiamen,CN,29.9576,122.298,59.27,83,100,2.24,overcast clouds
159,Chuy,UY,-33.6971,-53.4616,71.2,75,0,5.59,clear sky
160,Chokurdakh,RU,70.6333,147.9167,-30.14,100,86,3.29,overcast clouds
161,Mahebourg,MU,-20.4081,57.7,77.29,83,75,11.5,broken clouds
162,Lagos,NG,6.5833,3.75,79.12,88,0,1.52,clear sky
163,Nabire,ID,-3.3667,135.4833,86.45,62,86,3.29,overcast clouds
164,Bulgan,MN,48.8125,103.5347,-7.28,88,21,4.18,few clouds
165,Suntar,RU,62.1444,117.6319,-23.85,97,100,2.1,overcast clouds
166,Fort Nelson,CA,58.8053,-122.7002,-6.21,77,75,3.44,broken clouds
167,Bhawanigarh,IN,30.2667,76.035,55.99,33,0,5.73,clear sky
168,Norden,DE,53.6,7.2,30.94,82,8,8.1,clear sky
169,Benghazi,LY,32.1167,20.0667,66.2,72,1,9.98,clear sky
170,Naze,JP,28.3667,129.4833,67.12,75,100,15.5,light rain
171,Carnarvon,AU,-24.8667,113.6333,69.85,66,99,15.59,overcast clouds
172,Kasongo-Lunda,CD,-6.4667,16.8167,69.03,97,100,0.78,overcast clouds
173,Sorland,NO,67.667,12.6934,35.46,60,100,22.64,overcast clouds
174,Mareeba,AU,-17.0,145.4333,83.12,29,7,4.0,clear sky
175,Kochubey,RU,44.3861,46.5825,40.14,69,92,19.33,overcast clouds
176,Palauig,PH,15.435,119.9045,82.69,69,99,1.7,overcast clouds
177,Kidal,ML,18.4411,1.4078,70.36,15,0,9.71,clear sky
178,Pokhara,NP,28.2333,83.9833,55.63,44,0,5.37,clear sky
179,Watsa,CD,3.0372,29.5355,61.75,98,34,1.14,scattered clouds
180,Ostrovnoy,RU,68.0531,39.5131,24.08,90,100,28.92,light snow
181,Miguel Hidalgo,MX,19.4225,-99.2028,65.59,37,0,1.99,clear sky
182,Sioux Lookout,CA,50.1001,-91.917,8.67,85,75,3.44,broken clouds
183,Krk,HR,45.0258,14.5731,50.99,97,100,10.56,overcast clouds
184,Dolores,AR,-36.3132,-57.6792,64.8,59,0,9.64,clear sky
185,Port Alfred,ZA,-33.5906,26.891,74.17,93,90,3.0,overcast clouds
186,Esperance,AU,-33.8667,121.9,67.95,74,0,11.45,clear sky
187,Tabou,CI,4.423,-7.3528,78.33,83,5,6.55,clear sky
188,Cherskiy,RU,68.75,161.3,-20.52,89,74,0.96,broken clouds
189,Kodinsk,RU,58.6881,99.1844,7.21,93,100,11.01,light snow
190,Itaqui,BR,-29.1253,-56.5531,87.08,27,0,9.15,clear sky
191,Saint-Francois,FR,46.4154,3.9054,31.44,93,100,4.61,overcast clouds
192,Ust-Uda,RU,54.1742,103.0304,8.08,94,97,4.21,overcast clouds
193,Severo-Kurilsk,RU,50.6789,156.125,25.81,57,80,14.16,broken clouds
194,Mackay,AU,-21.15,149.2,90.68,67,3,13.89,clear sky
195,Tuatapere,NZ,-46.1333,167.6833,60.67,81,100,0.54,light rain
196,Hami,CN,42.8,93.45,21.25,56,0,9.22,clear sky
197,Faanui,PF,-16.4833,-151.75,80.94,73,92,11.86,overcast clouds
198,Araceli,PH,10.5529,119.9913,80.62,76,100,5.88,light rain
199,Pokaran,IN,26.9167,71.9167,61.57,28,0,3.56,clear sky
200,Murmashi,RU,68.8154,32.8115,25.21,92,75,8.99,broken clouds
201,Kaohsiung,TW,22.6163,120.3133,69.89,73,20,9.22,few clouds
202,Comodoro Rivadavia,AR,-45.8667,-67.5,63.12,40,0,33.24,clear sky
203,Buraydah,SA,26.326,43.975,60.82,73,69,10.45,broken clouds
204,Henties Bay,NA,-22.116,14.2845,57.96,91,0,3.71,clear sky
205,Saint-Pierre,RE,-21.3393,55.4781,75.9,78,12,8.05,few clouds
206,Hanna,CA,51.6334,-111.9018,18.55,80,85,8.99,overcast clouds
207,Pishin,PK,30.5803,66.9961,46.17,53,61,2.01,broken clouds
208,Coihaique,CL,-45.5752,-72.0662,48.81,96,98,5.39,light rain
209,Nizwa,OM,22.9333,57.5333,65.71,52,0,4.14,clear sky
210,Bathsheba,BB,13.2167,-59.5167,77.05,81,96,9.8,overcast clouds
211,Brae,GB,60.3964,-1.353,41.29,58,85,18.81,overcast clouds
212,Elk City,US,35.412,-99.4043,53.82,100,0,3.44,clear sky
213,Victoria,HK,22.2855,114.1577,69.24,78,0,1.01,clear sky
214,Haldibari,IN,26.3333,88.7667,61.09,68,11,2.57,few clouds
215,Rabo De Peixe,PT,37.8,-25.5833,58.28,100,40,4.61,scattered clouds
216,Vestmannaeyjar,IS,63.4427,-20.2734,30.4,58,11,16.96,few clouds
217,San Patricio,US,28.017,-97.5169,73.83,85,0,9.26,clear sky
218,Balakhninskiy,RU,58.0106,114.2769,7.27,93,100,13.44,light snow
219,Tutoia,BR,-2.7619,-42.2744,80.2,81,100,12.68,overcast clouds
220,Kangaatsiaq,GL,68.3065,-53.4641,30.88,89,100,10.42,overcast clouds
221,Lebu,CL,-37.6167,-73.65,61.45,94,100,7.38,overcast clouds
222,Kenai,US,60.5544,-151.2583,15.15,93,46,1.01,scattered clouds
223,Doha,QA,25.2867,51.5333,73.38,64,0,5.75,clear sky
224,Coahuayana,MX,18.7333,-103.6833,75.58,89,71,2.06,broken clouds
225,Muli,MV,2.9167,73.5667,81.07,79,100,17.13,overcast clouds
226,Northam,GB,51.0333,-4.2167,32.25,83,15,5.19,few clouds
227,Ilulissat,GL,69.2167,-51.1,44.62,39,75,14.97,broken clouds
228,Tessalit,ML,20.1986,1.0114,71.78,17,0,11.1,clear sky
229,Salinas,US,36.6777,-121.6555,55.08,70,100,0.47,overcast clouds
230,North Platte,US,41.1239,-100.7654,31.89,93,100,16.11,mist
231,Ust-Ishim,RU,57.6935,71.1665,7.5,96,100,6.04,overcast clouds
232,Vao,NC,-22.6667,167.4833,78.24,80,0,7.72,clear sky
233,Vanavara,RU,60.34,102.2797,5.99,93,100,12.28,light snow
234,Omboue,GA,-1.5746,9.2618,75.76,86,74,4.81,broken clouds
235,Bandarbeyla,SO,9.4942,50.8122,76.06,76,100,17.65,overcast clouds
236,Arcachon,FR,44.5875,-1.0519,44.65,100,100,6.91,light intensity drizzle
237,Solnechnyy,RU,50.7214,136.6319,6.42,75,17,2.98,few clouds
238,La Trinitaria,MX,16.1167,-92.05,57.69,76,3,9.46,clear sky
239,Caconda,AO,-13.7333,15.0667,60.35,92,100,3.71,light rain
240,Alofi,NU,-19.0595,-169.9187,77.76,84,100,15.82,light rain
241,East London,ZA,-33.0153,27.9116,73.87,93,100,20.4,overcast clouds
242,Puerto Colombia,CO,10.9878,-74.9547,79.32,79,6,21.54,clear sky
243,Tual,ID,-5.6667,132.75,82.81,75,95,8.93,overcast clouds
244,Kaitangata,NZ,-46.2817,169.8464,62.28,69,100,5.35,overcast clouds
245,Kaabong,UG,3.4836,34.1492,65.39,71,30,10.29,scattered clouds
246,Lima,PE,-12.0432,-77.0282,67.39,76,100,7.43,overcast clouds
247,Palmer,US,42.1584,-72.3287,40.96,68,4,1.99,clear sky
248,Leningradskiy,RU,69.3833,178.4167,-18.33,90,21,3.78,few clouds
249,Mwense,ZM,-10.3845,28.698,65.95,95,100,2.53,light rain
250,Pandamatenga,BW,-18.5278,25.627,68.95,76,45,6.78,scattered clouds
251,Saskylakh,RU,71.9167,114.0833,-4.99,98,100,11.21,overcast clouds
252,Santa Maria Del Oro,MX,25.9333,-105.3667,63.18,27,1,3.89,clear sky
253,Nanortalik,GL,60.1432,-45.2371,24.37,79,100,6.02,overcast clouds
254,Nikolskoye,RU,59.7035,30.7861,30.09,93,95,8.19,overcast clouds
255,Katsuura,JP,35.1333,140.3,54.93,75,62,9.95,broken clouds
256,Shushtar,IR,32.0455,48.8567,59.76,47,0,1.48,clear sky
257,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.59,73,75,11.18,broken clouds
258,Cheremshan,RU,54.6667,51.5,2.19,85,20,7.56,few clouds
259,Bereda,ES,43.2686,-7.5406,51.42,100,100,0.96,overcast clouds
260,Sabang,ID,5.8933,95.3214,78.26,82,100,13.44,moderate rain
261,Kolyshley,RU,52.7005,44.5367,16.97,78,100,15.7,overcast clouds
262,Eyl,SO,7.9803,49.8164,74.93,80,36,12.68,scattered clouds
263,Nchelenge,ZM,-9.3451,28.734,68.65,88,100,7.85,moderate rain
264,Arusha,TZ,-3.3667,36.6833,61.05,92,16,3.47,few clouds
265,Yichun,CN,47.7,128.9,5.81,88,68,1.25,broken clouds
266,Komsomolskiy,UZ,40.4272,71.7189,29.12,93,100,6.91,mist
267,Ahipara,NZ,-35.1667,173.1667,72.03,77,42,8.21,light rain
268,Faya,SA,18.3851,42.4509,54.01,74,6,1.41,clear sky
269,Ponta Do Sol,PT,32.6667,-17.1,67.71,84,76,18.03,light rain
270,Sernur,RU,56.9333,49.1536,11.68,92,100,13.73,overcast clouds
271,Charlestown,AU,-32.95,151.6667,67.86,64,100,5.01,overcast clouds
272,Hamilton,US,39.1834,-84.5333,45.93,91,100,4.0,overcast clouds
273,Asau,RO,46.4333,26.4,36.52,92,54,4.05,broken clouds
274,The Valley,AI,18.217,-63.0578,78.82,65,0,17.78,clear sky
275,Nyimba,ZM,-14.5566,30.8149,67.24,90,100,2.26,light rain
276,Plettenberg Bay,ZA,-34.0527,23.3716,68.22,84,0,4.92,clear sky
277,Georgetown,MY,5.4112,100.3354,78.73,93,40,8.05,moderate rain
278,Konya,TR,38.1667,32.5,29.68,78,8,2.42,clear sky
279,Cayenne,GF,4.9333,-52.3333,75.24,94,0,0.0,clear sky
280,Kargasok,RU,59.0556,80.8572,7.48,89,100,14.38,overcast clouds
281,Nurota,UZ,40.5614,65.6886,18.77,76,87,10.07,overcast clouds
282,Broken Hill,AU,-31.95,141.4333,67.73,29,84,6.96,broken clouds
283,Tucupita,VE,9.0622,-62.051,71.65,90,100,2.91,overcast clouds
284,Tayu,ID,-6.5397,111.0518,82.65,71,92,5.41,overcast clouds
285,Tura,IN,25.5198,90.2201,58.64,82,17,3.11,few clouds
286,Wuning,CN,29.2589,120.2311,51.96,92,100,1.88,overcast clouds
287,Kununurra,AU,-15.7667,128.7333,93.18,52,6,4.61,clear sky
288,San Policarpo,PH,12.1791,125.5072,78.42,88,100,3.0,light rain
289,Eureka,US,40.8021,-124.1637,44.92,94,100,1.01,overcast clouds
290,Broome,US,42.2506,-75.833,40.62,77,100,11.5,overcast clouds
291,Rio Gallegos,AR,-51.6226,-69.2181,51.17,81,100,9.31,overcast clouds
292,Gull Lake,CA,50.1001,-108.4847,21.52,78,83,11.3,broken clouds
293,Oksfjord,NO,70.2396,22.3479,30.38,89,86,7.76,light snow
294,Zabaykalsk,RU,49.6333,117.3167,4.21,92,100,15.73,overcast clouds
295,Yeppoon,AU,-23.1333,150.7333,87.58,64,9,12.21,clear sky
296,Aasiaat,GL,68.7098,-52.8699,29.57,96,100,8.93,light snow
297,Sembe,CG,1.6481,14.5806,69.19,95,100,1.63,overcast clouds
298,Kattivakkam,IN,13.2167,80.3167,69.89,82,100,21.61,moderate rain
299,Feuchtwangen,DE,49.1667,10.3333,30.33,87,19,2.89,few clouds
300,Inhambane,MZ,-23.865,35.3833,77.0,77,68,9.4,broken clouds
301,Thasra,IN,22.8,73.2167,58.95,40,1,9.84,clear sky
302,Waingapu,ID,-9.6567,120.2641,84.54,62,91,3.65,overcast clouds
303,Auki,SB,-8.7676,160.7034,82.72,78,86,2.57,overcast clouds
304,Seoul,KR,37.5683,126.9778,40.44,70,75,6.91,broken clouds
305,Hirado,JP,33.3597,129.5531,51.39,56,100,7.52,overcast clouds
306,Malinovoye Ozero,RU,51.6753,79.7825,-4.79,93,100,3.96,overcast clouds
307,Gidam,IN,18.9833,81.4,53.26,54,72,3.76,broken clouds
308,Black River,JM,18.0264,-77.8487,73.24,77,0,6.87,clear sky
309,Camacha,PT,33.0833,-16.3333,65.62,64,40,24.16,scattered clouds
310,Baherden,TM,38.4362,57.4316,30.54,55,13,8.7,few clouds
311,Maniitsoq,GL,65.4167,-52.9,35.71,79,100,34.29,overcast clouds
312,Sharjah,AE,25.3573,55.4033,76.91,63,2,9.98,clear sky
313,Mayo,US,38.8876,-76.5119,50.5,71,0,6.91,clear sky
314,Hovd,MN,48.0056,91.6419,-3.03,67,0,5.46,clear sky
315,New Amsterdam,GY,6.25,-57.5167,74.62,88,100,3.38,overcast clouds
316,Labuhan,ID,-6.8844,112.2051,81.79,74,85,8.41,light rain
317,Neiafu,TO,-18.65,-173.9833,78.6,85,100,21.85,overcast clouds
318,Dodoma,TZ,-6.1722,35.7395,65.64,74,93,4.0,overcast clouds
319,Tenamaxtlan,MX,20.2167,-104.1667,69.37,40,46,0.47,scattered clouds
320,Linguere,SN,15.3953,-15.1193,79.3,35,1,9.37,clear sky
321,Tomohon,ID,1.3346,124.8392,76.14,63,94,1.43,overcast clouds
322,Haines Junction,CA,60.7522,-137.5108,7.36,97,100,2.55,overcast clouds
323,Privolnyy,RU,44.0998,46.6587,40.82,65,96,17.69,overcast clouds
324,Lorengau,PG,-2.0226,147.2712,83.43,76,100,8.08,overcast clouds
325,Umm Kaddadah,SD,13.6017,26.6876,60.4,30,2,13.94,clear sky
326,Vila,PT,42.0304,-8.1588,43.68,93,94,3.2,overcast clouds
327,Ketchikan,US,55.3422,-131.6461,36.07,80,100,8.05,light rain
328,Kungurtug,RU,50.5994,97.5228,-22.0,97,22,1.54,few clouds
329,Cedar City,US,37.6775,-113.0619,31.17,74,0,4.61,clear sky
330,Codrington,AU,-38.2667,141.9667,58.75,55,100,11.81,overcast clouds
331,Imeni Poliny Osipenko,RU,52.4201,136.4853,-3.37,95,22,6.53,few clouds
332,Caravelas,BR,-17.7125,-39.2481,73.51,96,98,5.08,overcast clouds
333,Evensk,RU,61.95,159.2333,14.61,76,100,6.51,overcast clouds
334,Yulara,AU,-25.2406,130.9889,96.87,11,12,14.65,few clouds
335,Orange,US,33.7,-117.7675,60.42,72,0,5.75,clear sky
336,Krutikha,RU,53.9599,81.2093,-11.2,98,22,3.87,few clouds
337,Port Hardy,CA,50.6996,-127.4199,37.06,77,41,7.94,light rain
338,Baruun-Urt,MN,46.6806,113.2792,-3.37,89,11,7.43,few clouds
339,Arraial Do Cabo,BR,-22.9661,-42.0278,72.72,85,6,2.89,clear sky
340,Puerto Ayacucho,VE,5.6639,-67.6236,74.89,85,100,4.0,overcast clouds
341,Mangai,CD,-4.05,19.5333,67.48,95,100,1.79,overcast clouds
342,Sobolevo,RU,54.4299,31.8996,24.69,97,100,8.1,overcast clouds
343,Kholm,RU,59.2667,32.85,26.87,93,80,9.15,broken clouds
344,Praia,CV,14.9215,-23.5087,75.74,78,40,16.11,scattered clouds
345,Great Malvern,GB,52.1116,-2.3252,31.3,96,82,4.85,broken clouds
346,Pau Brasil,BR,-15.4642,-39.6511,70.61,99,93,2.86,overcast clouds
347,Panzhihua,CN,26.5851,101.7128,50.41,69,0,1.5,clear sky
348,Port Lincoln,AU,-34.7333,135.8667,65.98,57,2,19.08,clear sky
349,Geraldton,AU,-28.7667,114.6,70.21,52,100,13.8,overcast clouds
350,Alta Floresta,BR,-9.8756,-56.0861,70.66,93,6,1.79,clear sky
351,Padang,ID,-0.9492,100.3543,77.05,88,98,2.91,overcast clouds
352,Saint-Philippe,RE,-21.3585,55.7679,74.79,87,71,13.51,light rain
353,Sao Joao Do Piaui,BR,-8.3581,-42.2467,77.4,49,100,3.09,overcast clouds
354,Ryotsu,JP,38.0833,138.4333,45.21,71,97,0.38,overcast clouds
355,Wanning,CN,18.8003,110.3967,72.21,75,98,10.47,overcast clouds
356,Mutoko,ZW,-17.397,32.2268,64.22,83,100,6.53,overcast clouds
